SS316LN,laser pulse duration (ns),laser energy (mJ),loding rate (µN/s),Depth (nm),load (µN) ,time (s)
,0.00001,0.00001,2500,131.474233,2663.532782,0.530509
,0.00001,0.00001,2500,131.922881,2688.70502,0.535514
,0.00001,0.00001,2500,132.671588,2713.93292,0.540518
,0.00001,0.00001,2500,133.531436,2739.130983,0.545523
,0.00001,0.00001,2500,134.21601,2764.291871,0.550528
,0.00001,0.00001,2500,134.940666,2789.523402,0.555533
,0.00001,0.00001,2500,135.563608,2814.701814,0.560538
,0.00001,0.00001,2500,136.499986,2839.795381,0.565542
,0.00001,0.00001,2500,137.133224,2865.065282,0.570547
,0.00001,0.00001,2500,137.875544,2890.263285,0.575552
,0.00001,0.00001,2500,138.49407,2915.578013,0.580557
,0.00001,0.00001,2500,139.406502,2940.77342,0.585562
,0.00001,0.00001,2500,140.147454,2965.936492,0.590566
,0.00001,0.00001,2500,141.055539,2991.138046,0.595571
,0.00001,0.00001,2500,142.011071,3016.268425,0.600576
,0.00001,0.00001,2500,142.607431,3041.522244,0.605581
,0.00001,0.00001,2500,143.421916,3066.708515,0.610586
,0.00001,0.00001,2500,144.203588,3091.957206,0.61559
,0.00001,0.00001,2500,145.130888,3117.114994,0.620595
,0.00001,0.00001,2500,145.958819,3142.338844,0.6256
,0.00001,0.00001,2500,146.934594,3167.474945,0.630605
,0.00001,0.00001,2500,147.643977,3192.640317,0.63561
,0.00001,0.00001,2500,148.203612,3217.952133,0.640614
,0.00001,0.00001,2500,149.132963,3243.090772,0.645619
,0.00001,0.00001,2500,149.613465,3268.379233,0.650624
,0.00001,0.00001,2500,150.607766,3293.569812,0.655629
,0.00001,0.00001,2500,151.210633,3318.79632,0.660634
,0.00001,0.00001,2500,152.141578,3343.93973,0.665638
,0.00001,0.00001,2500,152.891164,3369.183955,0.670643
,0.00001,0.00001,2500,153.659854,3394.46073,0.675648
,0.00001,0.00001,2500,154.370139,3419.614753,0.680653
,0.00001,0.00001,2500,155.184947,3444.890685,0.685658
,0.00001,0.00001,2500,155.98084,3470.062586,0.690662
,0.00001,0.00001,2500,156.788355,3495.298375,0.695667
,0.00001,0.00001,2500,157.565313,3520.48154,0.700672
,0.00001,0.00001,2500,158.392981,3545.749934,0.705677
,0.00001,0.00001,2500,158.881766,3570.971278,0.710682
,0.00001,0.00001,2500,159.676702,3596.232517,0.715686
,0.00001,0.00001,2500,160.386622,3621.430533,0.720691
,0.00001,0.00001,2500,160.891897,3646.719696,0.725696
,0.00001,0.00001,2500,161.629389,3671.995315,0.730701
,0.00001,0.00001,2500,162.269644,3697.21069,0.735706
,0.00001,0.00001,2500,162.949316,3722.48778,0.74071
,0.00001,0.00001,2500,163.876847,3747.646377,0.745715
,0.00001,0.00001,2500,164.638217,3772.880434,0.75072
,0.00001,0.00001,2500,165.209291,3798.194387,0.755725
,0.00001,0.00001,2500,166.260351,3823.351283,0.76073
,0.00001,0.00001,2500,167.329403,3848.585375,0.765734
,0.00001,0.00001,2500,168.152761,3873.794559,0.770739
,0.00001,0.00001,2500,168.896877,3899.107553,0.775744
,0.00001,0.00001,2500,169.580507,3924.37569,0.780749
,0.00001,0.00001,2500,170.125337,3949.59757,0.785754
,0.00001,0.00001,2500,171.327196,3974.816483,0.790758
,0.00001,0.00001,2500,172.164491,4000.006358,0.795763
,0.00001,0.00001,2500,172.761178,4025.264515,0.800768
,0.00001,0.00001,2500,173.332348,4050.577096,0.805773
,0.00001,0.00001,2500,174.101899,4075.77043,0.810778
,0.00001,0.00001,2500,174.758065,4101.071195,0.815782
,0.00001,0.00001,2500,175.473249,4126.342874,0.820787
,0.00001,0.00001,2500,176.056684,4151.560252,0.825792
,0.00001,0.00001,2500,176.854586,4176.82263,0.830797
,0.00001,0.00001,2500,177.575709,4202.102832,0.835802
,0.00001,0.00001,2500,178.060453,4227.343179,0.840806
,0.00001,0.00001,2500,178.717602,4252.641856,0.845811
,0.00001,0.00001,2500,179.233892,4278.00539,0.850816
,0.00001,0.00001,2500,179.868728,4303.208721,0.855821
,0.00001,0.00001,2500,180.422576,4328.474054,0.860826
,0.00001,0.00001,2500,181.024231,4353.789478,0.86583
,0.00001,0.00001,2500,181.53845,4378.993963,0.870835
,0.00001,0.00001,2500,182.481139,4404.348214,0.87584
,0.00001,0.00001,2500,183.362998,4429.715973,0.880845
,0.00001,0.00001,2500,183.98954,4454.981716,0.88585
,0.00001,0.00001,2500,184.754992,4480.259422,0.890854
,0.00001,0.00001,2500,185.897788,4505.539616,0.895859
,0.00001,0.00001,2500,186.720473,4530.705539,0.900864
,0.00001,0.00001,2500,187.364908,4556.01397,0.905869
,0.00001,0.00001,2500,188.042052,4581.333711,0.910874
,0.00001,0.00001,2500,188.520922,4606.6001,0.915878
,0.00001,0.00001,2500,189.165382,4631.90734,0.920883
,0.00001,0.00001,2500,190.006986,4657.487674,0.925888
,0.00001,0.00001,2500,190.501064,4682.855122,0.930893
,0.00001,0.00001,2500,191.245834,4708.051078,0.935898
,0.00001,0.00001,2500,191.898904,4733.304949,0.940902
,0.00001,0.00001,2500,192.313702,4758.651715,0.945907
,0.00001,0.00001,2500,192.733046,4783.866264,0.950912
,0.00001,0.00001,2500,193.321521,4809.205377,0.955917
,0.00001,0.00001,2500,193.737394,4834.560247,0.960922
,0.00001,0.00001,2500,194.559417,4859.935311,0.965926
,0.00001,0.00001,2500,195.177123,4885.130753,0.970931
,0.00001,0.00001,2500,195.845614,4910.437817,0.975936
,0.00001,0.00001,2500,196.694593,4935.713514,0.980941
,0.00001,0.00001,2500,197.185025,4960.918526,0.985946
,0.00001,0.00001,2500,197.78343,4986.206507,0.99095
,0.00001,0.00001,2500,198.598384,5011.540483,0.995955
,0.00001,0.00001,2500,199.13382,5036.896682,1.00096
,0.00001,0.00001,2500,199.700114,5062.204215,1.005965
,0.00001,0.00001,2500,200.225531,5087.507215,1.01097
,0.00001,0.00001,2500,200.776568,5112.826171,1.015974
,0.00001,0.00001,2500,201.461783,5138.130644,1.020979
,0.00001,0.00001,2500,201.980507,5163.353981,1.025984
,0.00001,0.00001,2500,202.460079,5188.646883,1.030989
,0.00001,0.00001,2500,203.099132,5214.002718,1.035994
,0.00001,0.00001,2500,203.714025,5239.355331,1.040998
,0.00001,0.00001,2500,204.314713,5264.661375,1.046003
,0.00001,0.00001,2500,204.639824,5289.978311,1.051008
,0.00001,0.00001,2500,205.131246,5315.346454,1.056013
,0.00001,0.00001,2500,205.722962,5340.674428,1.061018
,0.00001,0.00001,2500,206.526185,5365.89472,1.066022
,0.00001,0.00001,2500,207.093263,5391.186409,1.071027
,0.00001,0.00001,2500,207.70663,5416.543756,1.076032
,0.00001,0.00001,2500,208.216597,5441.879685,1.081037
,0.00001,0.00001,2500,208.864515,5467.182212,1.086042
,0.00001,0.00001,2500,209.377544,5492.495034,1.091046
,0.00001,0.00001,2500,209.97919,5517.864927,1.096051
,0.00001,0.00001,2500,210.464271,5543.226867,1.101056
,0.00001,0.00001,2500,211.043505,5568.55509,1.106061
,0.00001,0.00001,2500,212.09521,5593.724112,1.111066
,0.00001,0.00001,2500,212.956534,5619.026063,1.11607
,0.00001,0.00001,2500,213.863186,5644.367917,1.121075
,0.00001,0.00001,2500,214.88028,5669.755485,1.12608
,0.00001,0.00001,2500,215.611942,5695.006715,1.131085
,0.00001,0.00001,2500,216.215562,5720.350869,1.13609
,0.00001,0.00001,2500,217.011071,5745.694943,1.141094
,0.00001,0.00001,2500,217.624555,5771.042824,1.146099
,0.00001,0.00001,2500,218.153596,5796.358565,1.151104
,0.00001,0.00001,2500,218.855227,5821.588522,1.156109
,0.00001,0.00001,2500,219.210182,5846.927066,1.161114
,0.00001,0.00001,2500,219.762582,5872.29651,1.166118
,0.00001,0.00001,2500,220.316545,5897.730484,1.171123
,0.00001,0.00001,2500,220.795783,5922.989186,1.176128
,0.00001,0.00001,2500,221.396738,5948.337776,1.181133
,0.00001,0.00001,2500,221.851228,5973.715953,1.186138
,0.00001,0.00001,2500,222.532216,5999.063082,1.191142
,0.00001,0.00001,2500,223.256368,6024.365559,1.196147
,0.00001,0.00001,2500,223.908988,6049.696853,1.201152
,0.00001,0.00001,2500,224.453516,6075.095252,1.206157
,0.00001,0.00001,2500,224.989954,6100.488638,1.211162
,0.00001,0.00001,2500,225.575059,6125.704035,1.216166
,0.00001,0.00001,2500,225.96311,6151.029675,1.221171
,0.00001,0.00001,2500,226.649653,6176.455336,1.226176
,0.00001,0.00001,2500,226.968885,6201.823036,1.231181
,0.00001,0.00001,2500,227.572024,6227.192367,1.236186
,0.00001,0.00001,2500,227.962933,6252.53904,1.24119
,0.00001,0.00001,2500,228.676393,6277.908514,1.246195
,0.00001,0.00001,2500,229.365182,6303.283236,1.2512
,0.00001,0.00001,2500,229.782001,6328.678848,1.256205
,0.00001,0.00001,2500,230.381866,6354.081583,1.26121
,0.00001,0.00001,2500,231.160768,6379.23211,1.266214
,0.00001,0.00001,2500,231.665759,6404.574488,1.271219
,0.00001,0.00001,2500,232.123394,6429.951986,1.276224
,0.00001,0.00001,2500,232.657676,6455.313595,1.281229
,0.00001,0.00001,2500,233.274746,6480.642761,1.286234
,0.00001,0.00001,2500,233.618965,6506.028121,1.291238
,0.00001,0.00001,2500,234.10667,6531.420982,1.296243
,0.00001,0.00001,2500,234.626832,6556.776789,1.301248
,0.00001,0.00001,2500,235.005902,6582.202105,1.306253
,0.00001,0.00001,2500,235.516397,6607.578331,1.311258
,0.00001,0.00001,2500,236.175771,6632.983472,1.316262
,0.00001,0.00001,2500,236.574964,6658.118104,1.321267
,0.00001,0.00001,2500,237.195033,6683.51407,1.326272
,0.00001,0.00001,2500,237.912606,6708.868725,1.331277
,0.00001,0.00001,2500,238.302223,6734.229098,1.336282
,0.00001,0.00001,2500,238.797048,6759.614311,1.341286
,0.00001,0.00001,2500,239.345019,6785.013824,1.346291
,0.00001,0.00001,2500,239.836217,6810.481096,1.351296
,0.00001,0.00001,2500,240.188464,6835.831373,1.356301
,0.00001,0.00001,2500,240.642328,6861.217927,1.361306
,0.00001,0.00001,2500,241.077947,6886.628536,1.36631
,0.00001,0.00001,2500,241.630077,6912.013055,1.371315
,0.00001,0.00001,2500,242.143039,6937.389661,1.37632
,0.00001,0.00001,2500,242.5155,6962.533885,1.381325
,0.00001,0.00001,2500,242.940134,6987.877131,1.38633
,0.00001,0.00001,2500,243.580113,7013.27277,1.391334
,0.00001,0.00001,2500,244.072048,7038.705638,1.396339
,0.00001,0.00001,2500,244.530091,7064.068934,1.401344
,0.00001,0.00001,2500,245.25466,7089.456494,1.406349
,0.00001,0.00001,2500,245.864164,7114.83141,1.411354
,0.00001,0.00001,2500,246.686457,7140.2847,1.416358
,0.00001,0.00001,2500,247.351221,7165.713521,1.421363
,0.00001,0.00001,2500,248.126932,7191.087709,1.426368
,0.00001,0.00001,2500,248.59646,7216.495605,1.431373
,0.00001,0.00001,2500,249.067711,7241.93136,1.436378
,0.00001,0.00001,2500,249.725141,7267.322408,1.441382
,0.00001,0.00001,2500,250.158157,7292.554061,1.446387
,0.00001,0.00001,2500,250.622894,7317.875839,1.451392
,0.00001,0.00001,2500,251.231794,7343.30623,1.456397
,0.00001,0.00001,2500,251.628444,7368.712935,1.461402
,0.00001,0.00001,2500,252.32079,7394.136554,1.466406
,0.00001,0.00001,2500,252.878233,7419.528811,1.471411
,0.00001,0.00001,2500,253.519259,7444.933949,1.476416
,0.00001,0.00001,2500,253.962243,7470.33225,1.481421
,0.00001,0.00001,2500,254.614007,7495.735832,1.486426
,0.00001,0.00001,2500,255.069395,7521.15518,1.49143
,0.00001,0.00001,2500,255.671151,7546.565287,1.496435
,0.00001,0.00001,2500,256.223679,7571.939948,1.50144
,0.00001,0.00001,2500,256.641514,7597.394548,1.506445
,0.00001,0.00001,2500,257.080654,7622.523576,1.51145
,0.00001,0.00001,2500,257.619165,7647.935034,1.516454
,0.00001,0.00001,2500,258.028818,7673.319135,1.521459
,0.00001,0.00001,2500,258.285887,7698.730866,1.526464
,0.00001,0.00001,2500,258.889296,7724.178321,1.531469
,0.00001,0.00001,2500,259.373022,7749.5603,1.536474
,0.00001,0.00001,2500,259.632189,7775.045774,1.541478
,0.00001,0.00001,2500,259.974068,7800.52927,1.546483
,0.00001,0.00001,2500,260.500855,7825.880178,1.551488
,0.00001,0.00001,2500,260.870879,7851.319621,1.556493
,0.00001,0.00001,2500,261.462108,7876.721112,1.561498
,0.00001,0.00001,2500,261.924591,7902.152975,1.566502
,0.00001,0.00001,2500,262.275898,7927.534528,1.571507
,0.00001,0.00001,2500,262.936874,7952.969792,1.576512
,0.00001,0.00001,2500,263.383079,7978.439661,1.581517
,0.00001,0.00001,2500,263.834179,8003.627863,1.586522
,0.00001,0.00001,2500,264.386887,8028.99535,1.591526
,0.00001,0.00001,2500,264.808978,8043.843561,1.596531
,0.00001,0.00001,2500,265.243796,8043.961379,1.601536
,0.00001,0.00001,2500,265.471376,8043.950757,1.606541
,0.00001,0.00001,2500,265.666092,8043.953277,1.611546
,0.00001,0.00001,2500,266.090598,8043.976353,1.61655
,0.00001,0.00001,2500,266.179229,8043.978892,1.621555
,0.00001,0.00001,2500,266.453164,8043.979631,1.62656
,0.00001,0.00001,2500,266.53313,8043.973886,1.631565
,0.00001,0.00001,2500,266.776513,8043.984816,1.63657
,0.00001,0.00001,2500,267.00852,8043.991406,1.641574
,0.00001,0.00001,2500,267.099839,8043.999046,1.646579
,0.00001,0.00001,2500,267.064611,8043.976984,1.651584
,0.00001,0.00001,2500,267.276355,8043.99506,1.656589
,0.00001,0.00001,2500,267.459303,8044.010314,1.661594
,0.00001,0.00001,2500,267.567455,8044.009386,1.666598
,0.00001,0.00001,2500,267.458493,8044.002323,1.671603
,0.00001,0.00001,2500,267.745916,8044.028569,1.676608
,0.00001,0.00001,2500,267.83723,8044.03822,1.681613
,0.00001,0.00001,2500,267.889302,8044.050781,1.686618
,0.00001,0.00001,2500,267.857283,8044.048907,1.691622
,0.00001,0.00001,2500,267.997254,8044.042849,1.696627
,0.00001,0.00001,2500,268.200577,8044.076769,1.701632
,0.00001,0.00001,2500,268.221214,8044.089447,1.706637
,0.00001,0.00001,2500,268.212638,8044.080196,1.711642
,0.00001,0.00001,2500,268.280407,8044.110286,1.716646
,0.00001,0.00001,2500,268.435474,8044.110685,1.721651
,0.00001,0.00001,2500,268.586008,8044.098897,1.726656
,0.00001,0.00001,2500,268.460674,8044.074286,1.731661
,0.00001,0.00001,2500,268.595757,8044.114318,1.736666
,0.00001,0.00001,2500,268.638013,8044.113539,1.74167
,0.00001,0.00001,2500,268.679233,8044.135843,1.746675
,0.00001,0.00001,2500,268.78167,8044.129731,1.75168
,0.00001,0.00001,2500,268.780473,8044.130737,1.756685
,0.00001,0.00001,2500,268.808654,8044.106446,1.76169
,0.00001,0.00001,2500,269.257629,8044.168419,1.766694
,0.00001,0.00001,2500,269.337228,8044.160656,1.771699
,0.00001,0.00001,2500,269.397379,8044.173447,1.776704
,0.00001,0.00001,2500,269.385246,8044.17113,1.781709
,0.00001,0.00001,2500,269.652999,8044.185772,1.786714
,0.00001,0.00001,2500,269.734842,8044.202192,1.791718
,0.00001,0.00001,2500,269.763282,8044.214087,1.796723
,0.00001,0.00001,2500,269.837127,8044.198122,1.801728
,0.00001,0.00001,2500,269.870087,8044.190045,1.806733
,0.00001,0.00001,2500,269.93968,8044.226219,1.811738
,0.00001,0.00001,2500,269.838036,8044.2073,1.816742
,0.00001,0.00001,2500,269.9012,8044.198067,1.821747
,0.00001,0.00001,2500,270.059852,8044.19857,1.826752
,0.00001,0.00001,2500,270.096577,8044.193615,1.831757
,0.00001,0.00001,2500,269.994894,8044.17168,1.836762
,0.00001,0.00001,2500,270.240035,8044.1686,1.841766
,0.00001,0.00001,2500,270.181521,8044.184065,1.846771
,0.00001,0.00001,2500,270.259454,8044.172236,1.851776
,0.00001,0.00001,2500,270.118431,8044.192402,1.856781
,0.00001,0.00001,2500,270.240476,8044.17579,1.861786
,0.00001,0.00001,2500,270.312324,8044.194943,1.86679
,0.00001,0.00001,2500,270.394037,8044.198295,1.871795
,0.00001,0.00001,2500,270.445574,8044.182704,1.8768
,0.00001,0.00001,2500,270.319263,8044.167107,1.881805
,0.00001,0.00001,2500,270.533273,8044.210382,1.88681
,0.00001,0.00001,2500,270.51968,8044.186918,1.891814
,0.00001,0.00001,2500,270.595954,8044.214237,1.896819
,0.00001,0.00001,2500,270.59421,8044.210203,1.901824
,0.00001,0.00001,2500,270.66522,8044.201193,1.906829
,0.00001,0.00001,2500,270.650135,8044.224922,1.911834
,0.00001,0.00001,2500,270.583984,8044.231126,1.916838
,0.00001,0.00001,2500,270.503837,8044.209799,1.921843
,0.00001,0.00001,2500,270.698933,8044.209325,1.926848
,0.00001,0.00001,2500,270.755115,8044.207935,1.931853
,0.00001,0.00001,2500,270.793207,8044.224123,1.936858
,0.00001,0.00001,2500,270.709744,8044.234863,1.941862
,0.00001,0.00001,2500,270.753157,8044.237132,1.946867
,0.00001,0.00001,2500,270.70502,8044.227766,1.951872
,0.00001,0.00001,2500,270.806539,8044.225649,1.956877
,0.00001,0.00001,2500,270.812646,8044.173597,1.961882
,0.00001,0.00001,2500,270.763559,8044.190334,1.966886
,0.00001,0.00001,2500,270.987241,8044.192678,1.971891
,0.00001,0.00001,2500,271.036091,8044.218217,1.976896
,0.00001,0.00001,2500,270.919398,8044.201886,1.981901
,0.00001,0.00001,2500,270.920616,8044.224066,1.986906
,0.00001,0.00001,2500,271.036857,8044.219351,1.99191
,0.00001,0.00001,2500,271.109104,8044.218416,1.996915
